,Name,Rating,Reviews,Salary,Interviews,Jobs,Benefits
41,Mphasis,3.5,7.0,64.6,493.0,213.0,880.0
42,PwC,3.6,7.0,82.5,805.0,1.3,867.0
43,HSBC Group,4.1,6.8,61.2,366.0,24.0,1.2
44,Startek,3.2,6.8,23.0,330.0,51.0,708.0
45,Hinduja Global Solutions,4.0,6.8,25.6,179.0,44.0,1.0
46,Samsung,4.1,6.7,26.8,417.0,283.0,563.0
47,Ericsson,4.3,6.6,44.9,278.0,210.0,1.0
48,Maruti Suzuki,4.3,6.6,25.4,452.0,26.0,1.1
49,Shriram Finance,4.1,6.6,12.9,232.0,6.0,47.0
50,Asian Paints,4.1,6.4,21.5,472.0,50.0,904.0
51,Yes Bank,3.9,6.4,40.5,293.0,110.0,628.0
52,Cipla,4.1,6.2,24.2,359.0,65.0,894.0
53,Dr. Reddy's,4.2,6.0,24.1,278.0,187.0,883.0
54,Sutherland Global Services,3.7,6.0,27.5,372.0,242.0,940.0
55,Bandhan Bank,3.8,5.9,19.9,377.0,21.0,532.0
56,Paytm,3.5,5.9,30.5,437.0,325.0,582.0
57,UltraTech Cement,4.2,5.9,21.5,379.0,13.0,653.0
58,EXL Service,3.8,5.9,37.4,457.0,212.0,857.0
59,NTT DATA,4.0,5.8,52.5,430.0,116.0,776.0
60,ICICI Prudential Life Insurance,4.1,5.7,22.3,280.0,37.0,635.0
61,Jana Small Finance Bank,3.9,5.6,14.9,181.0,82.0,621.0
62,Bajaj Finance,4.1,5.6,19.4,227.0,73.0,524.0
63,Lupin,4.1,5.5,22.5,245.0,40.0,818.0
64,Indian Army,4.7,5.4,9.8,124.0,,760.0
65,HCL Group,3.7,5.3,68.3,288.0,1.0,698.0
66,L&T Infotech,3.8,5.3,74.3,406.0,124.0,886.0
67,Quess,4.0,5.3,23.4,280.0,270.0,461.0
68,Tata Steel,4.2,5.3,25.2,534.0,64.0,674.0
69,Wells Fargo,4.1,5.2,46.8,332.0,28.0,903.0
70,Zydus Lifesciences,4.1,5.2,18.1,209.0,142.0,688.0
71,Amazon Development Centre India,4.2,5.2,25.9,388.0,35.0,55.0
72,Delhivery,4.0,5.2,16.7,310.0,404.0,664.0
73,L&T Construction,4.1,5.1,14.2,477.0,,824.0
74,JPMorgan Chase & Co.,4.1,5.0,72.8,422.0,1.2,904.0
75,Sun Pharmaceutical Industries,4.2,5.0,20.1,262.0,107.0,638.0
76,Hindustan Unilever,4.3,4.9,21.3,251.0,192.0,689.0
77,FIS,3.9,4.9,39.2,310.0,86.0,785.0
78,ITC,4.0,4.8,22.9,403.0,61.0,721.0
79,Udaan,4.0,4.8,21.0,286.0,297.0,787.0
80,Hexaware Technologies,3.7,4.8,45.3,414.0,394.0,587.0
81,IIFL Finance,4.0,4.8,16.3,202.0,154.0,438.0
82,JSW Steel,4.0,4.7,24.6,383.0,88.0,626.0
83,Ujjivan Small Finance Bank,4.1,4.6,12.3,158.0,143.0,598.0
84,Muthoot Finance,3.6,4.5,11.8,181.0,509.0,337.0
85,Max Life Insurance,4.2,4.5,17.1,209.0,444.0,513.0
86,Aurobindo Pharma,4.0,4.4,22.2,184.0,6.0,493.0
87,KPMG India,3.6,4.4,63.0,514.0,641.0,782.0
88,Tata Projects,4.3,4.4,19.3,286.0,38.0,562.0
89,Shapoorji Pallonji Group,4.2,4.4,15.3,255.0,42.0,657.0
90,Oracle,3.8,4.4,58.6,531.0,219.0,641.0
91,Home Credit Finance,4.1,4.4,11.0,94.0,122.0,632.0
92,eClerx,3.5,4.3,27.5,318.0,78.0,587.0
93,Apollo Hospitals,4.1,4.3,15.0,221.0,153.0,523.0
94,Ashok Leyland,4.1,4.2,18.2,161.0,3.0,676.0
95,Siemens,4.2,4.2,30.1,259.0,500.0,664.0
96,JLL,4.2,4.2,20.2,215.0,28.0,573.0
97,Omega Healthcare,3.8,4.2,20.2,243.0,103.0,413.0
98,Megha Engineering & Infrastructures,4.1,4.2,14.5,301.0,24.0,562.0
99,Vivo,4.1,4.1,13.7,146.0,8.0,666.0
100,First Source,3.8,4.1,20.1,194.0,168.0,603.0
101,JustDial,3.6,4.1,14.9,232.0,100.0,384.0
102,OPPO,4.0,4.0,13.3,173.0,9.0,649.0
103,Bajaj Allianz Life Insurance,4.1,4.0,15.4,220.0,66.0,487.0
104,Hero MotoCorp,4.2,4.0,14.3,256.0,7.0,606.0
105,Mahindra Finance,4.3,4.0,10.9,99.0,60.0,511.0
106,DMart,4.0,3.9,13.8,259.0,118.0,484.0
107,Cyient,3.8,3.9,26.0,201.0,162.0,490.0
108,Coforge,3.5,3.9,36.7,294.0,194.0,328.0
109,BigBasket,4.0,3.8,15.2,262.0,37.0,442.0
110,ICICI Lombard General Insurance Company,3.8,3.8,18.3,183.0,241.0,378.0
111,Indiamart Intermesh,3.6,3.8,17.9,374.0,939.0,444.0
112,CGI Group,4.1,3.8,41.5,269.0,257.0,427.0
113,Virtusa Consulting Services,3.8,3.8,50.4,328.0,114.0,345.0
114,Equitas Small Finance Bank,4.4,3.7,11.6,126.0,32.0,403.0
115,TVS Motor,4.1,3.7,13.8,211.0,158.0,542.0
116,GlobalLogic,3.7,3.6,31.8,329.0,80.0,554.0
117,Manappuram Finance,4.0,3.6,7.6,108.0,7.0,266.0
118,UST,3.9,3.6,35.7,290.0,89.0,455.0
119,Hewlett Packard Enterprise,4.3,3.6,31.5,149.0,36.0,630.0
120,SBI Cards & Payment Services,3.8,3.6,15.1,175.0,137.0,349.0
121,Nagarro,4.1,3.6,25.0,455.0,69.0,1.2
122,Bosch Global Software Technologies,4.1,3.6,34.9,216.0,14.0,721.0
123,Atos Syntel,3.6,3.6,35.3,188.0,49.0,548.0
124,Ekart Logistics,4.1,3.6,8.5,206.0,,365.0
125,IQVIA,4.1,3.6,26.8,294.0,49.0,553.0
126,Cholamandalam Investment & Finance,4.1,3.5,9.7,114.0,21.0,315.0
127,Bosch,4.3,3.5,20.3,223.0,10.0,631.0
128,Reliance Communications,4.0,3.5,12.3,69.0,2.0,376.0
129,SMFG India Credit,4.1,3.5,9.9,100.0,38.0,349.0
130,BNY Mellon,4.1,3.5,28.4,211.0,361.0,554.0
131,Schneider Electric,4.2,3.5,20.8,217.0,31.0,485.0
132,L&T Technology Services,3.4,3.5,32.1,291.0,,461.0
133,Hyundai Motor,4.4,3.4,13.0,185.0,3.0,568.0
134,Amdocs,4.0,3.4,35.3,350.0,5.0,685.0
135,Oyo Rooms,3.4,3.4,25.1,165.0,188.0,393.0
136,CBRE,4.3,3.4,15.7,165.0,143.0,482.0
137,State Bank of India,3.8,3.4,10.2,170.0,187.0,407.0
138,Swiggy,3.9,3.4,19.2,271.0,373.0,364.0
139,JBM Group,4.0,3.4,13.1,186.0,1.0,393.0
140,BT Group,4.1,3.3,10.9,101.0,18.0,313.0
141,Ecom Express,4.1,3.3,8.6,144.0,68.0,335.0
142,SBI Life Insurance Company,3.9,3.3,10.8,160.0,9.0,334.0
143,Optum,4.0,3.2,25.4,274.0,18.0,569.0
144,Dell,4.2,3.2,27.2,246.0,62.0,565.0
145,Bajaj Auto,3.9,3.2,13.1,196.0,12.0,562.0
146,Nagarjuna Construction Company,4.2,3.2,10.3,211.0,,417.0
147,KEC International,4.1,3.2,10.9,209.0,9.0,452.0
148,Future Group,4.3,3.2,11.5,67.0,16.0,421.0
149,Piramal Capital Housing Finance,4.2,3.2,9.0,134.0,25.0,270.0
150,Aditya Birla Fashion and Retail,4.2,3.1,11.7,121.0,51.0,428.0
151,Muthoot Fincorp,4.1,3.1,8.0,100.0,51.0,282.0
152,Royal Enfield,4.3,3.1,13.8,107.0,16.0,416.0
153,L&T Finance,4.0,3.0,10.9,87.0,,270.0
154,Viatris,4.3,3.0,14.4,100.0,8.0,529.0
155,Tata Communications,4.2,3.0,22.5,186.0,306.0,435.0
156,Samvardhana Motherson Group,3.8,3.0,13.2,164.0,3.0,415.0
157,LG Electronics,4.1,3.0,10.0,147.0,6.0,417.0
158,Intas Pharmaceuticals,4.2,3.0,14.9,146.0,59.0,407.0
159,Kogta Financial India Limited,4.8,3.0,1.3,67.0,16.0,51.0
160,Varun Beverages,4.1,3.0,9.6,155.0,51.0,330.0
161,John Deere,4.3,3.0,13.9,158.0,9.0,432.0
162,Godrej & Boyce Manufacturing,3.9,2.9,16.2,127.0,45.0,429.0
163,Persistent Systems,3.8,2.9,32.4,326.0,723.0,408.0
164,Randstad,3.9,2.9,13.3,178.0,2.4,342.0
165,Thermax Limited,4.2,2.9,11.9,166.0,71.0,387.0
166,Hetero Drugs,3.9,2.9,13.7,150.0,22.0,343.0
167,Havells,4.1,2.8,11.9,130.0,133.0,333.0
168,Macleods Pharmaceuticals,3.8,2.8,13.9,127.0,,369.0
169,Deutsche Bank,4.1,2.8,31.1,225.0,495.0,416.0
170,CARS24,3.6,2.8,12.1,215.0,310.0,425.0
171,Team Lease,4.0,2.8,14.0,139.0,204.0,225.0
172,Sodexo,4.1,2.8,9.5,108.0,128.0,384.0
173,Subros,4.0,2.8,12.0,112.0,,415.0
174,Abbott,4.1,2.8,10.8,106.0,91.0,383.0
175,Whitehat jr,3.5,2.8,9.6,287.0,514.0,973.0
176,VE Commercial Vehicles,4.0,2.8,12.3,147.0,4.0,374.0
177,Ford Motor,4.5,2.8,14.3,86.0,106.0,398.0
178,Indian Oil Corporation,4.5,2.7,7.4,204.0,,312.0
179,Tata Capital,4.2,2.7,9.3,106.0,1.0,108.0
180,Automatic Data Processing (ADP),4.1,2.7,20.2,150.0,22.0,477.0
181,Bharat Electronics,4.2,2.7,11.4,150.0,,327.0
182,Cummins,4.4,2.7,14.9,150.0,26.0,477.0
183,Alembic Pharmaceuticals,4.0,2.7,13.5,158.0,45.0,400.0
184,American Express,4.3,2.7,20.7,215.0,207.0,450.0
185,Standard Chartered Bank,3.9,2.7,25.9,123.0,39.0,318.0
186,Access Healthcare,4.0,2.7,18.0,139.0,80.0,284.0
187,R1 RCM,4.0,2.7,16.2,189.0,52.0,372.0
188,Pidilite Industries,4.4,2.7,9.5,137.0,40.0,370.0
189,UnitedHealth,4.1,2.7,21.9,68.0,10.0,438.0
190,ITC Infotech,3.6,2.6,27.5,215.0,607.0,295.0
191,Hindalco Industries,4.3,2.6,9.7,142.0,,347.0
192,Tata AIA Life Insurance,4.1,2.6,11.7,124.0,,309.0
193,Alkem Laboratories,4.0,2.6,9.1,116.0,21.0,347.0
194,Publicis Sapient,3.6,2.6,27.6,322.0,197.0,413.0
195,Atos,3.8,2.6,27.5,192.0,6.0,365.0
196,Aakash Educational Services,3.6,2.6,11.2,205.0,121.0,219.0
197,DCB Bank,3.9,2.6,8.8,130.0,55.0,253.0
198,Hindustan Coca Cola Beverages,4.3,2.6,7.2,91.0,73.0,389.0
199,Utkarsh Small Finance Bank,3.9,2.6,8.6,155.0,13.0,273.0
200,Indian Air Force,4.7,2.6,5.1,37.0,,376.0
201,Vishal Mega Mart,3.8,2.6,6.6,120.0,5.0,
202,Glenmark Pharmaceuticals,4.1,2.5,11.2,95.0,50.0,331.0
203,Barclays,4.0,2.5,22.9,142.0,43.0,285.0
204,Marpu Foundation,4.9,2.5,14.0,24.0,,
205,Berger Paints,3.8,2.5,8.1,197.0,50.0,287.0
206,Ipca Laboratories,4.0,2.5,10.9,119.0,37.0,265.0
207,Jindal Steel and Power,4.0,2.5,12.5,210.0,22.0,330.0
208,Maersk,4.3,2.5,16.6,112.0,123.0,
209,Bank of America,4.4,2.5,24.7,152.0,1.0,433.0
210,ABB Group,4.1,2.5,15.5,128.0,1.0,359.0
211,DTDC Express,3.8,2.5,8.0,101.0,80.0,269.0
212,Wipro Infotech,4.0,2.5,17.8,117.0,,
213,Aarti Industries,4.2,2.5,12.6,218.0,43.0,386.0
214,24/7 Customer,3.6,2.5,13.2,151.0,31.0,440.0
215,Honda Motorcycle & Scooter,4.2,2.5,10.9,106.0,,372.0
216,Johnson Controls,3.7,2.5,14.1,174.0,35.0,
217,HDFC Ergo General Insurance,4.1,2.5,9.9,96.0,6.0,279.0
218,NatWest Group,4.1,2.5,20.6,122.0,13.0,378.0
219,Carelon Global Solutions,4.0,2.5,22.5,262.0,25.0,50.0
220,CMS IT Services,3.1,2.4,11.0,91.0,24.0,196.0
221,PolicyBazaar,3.5,2.4,12.8,183.0,88.0,241.0
222,MRF Tyres,3.8,2.4,10.8,217.0,20.0,377.0
223,Reliance Nippon Life Insurance,3.9,2.4,8.3,100.0,3.0,235.0
224,RBL Bank,3.8,2.4,15.7,124.0,87.0,225.0
225,Cogent E Services,3.4,2.4,8.1,172.0,2.0,232.0
226,PNB MetLife,3.5,2.4,7.7,109.0,732.0,230.0
227,Paras Hospital,4.6,2.4,2.6,56.0,44.0,154.0
228,Reliance Digital,4.2,2.4,7.2,76.0,2.0,278.0
229,Wipro Consumer Care & Lighting,3.9,2.4,2.9,41.0,31.0,286.0
230,GeBBS Healthcare Solutions,3.7,2.4,10.4,107.0,107.0,304.0
231,Jubilant Foods Works,3.9,2.4,7.4,108.0,110.0,188.0
232,Escorts Kubota Limited,4.1,2.4,10.4,143.0,,269.0
233,Ceat Tyres,4.1,2.4,11.4,116.0,2.0,366.0
234,Kotak Mahindara Life Insurance,3.9,2.4,11.0,149.0,190.0,273.0
235,Axis Direct,3.9,2.4,6.7,61.0,35.0,227.0
236,Dabur,3.9,2.4,7.6,149.0,21.0,281.0
237,Conduent,3.6,2.4,19.1,127.0,73.0,386.0
238,JK Cement,4.2,2.4,8.0,172.0,,260.0
239,IndiGo,3.6,2.3,11.6,275.0,61.0,321.0
240,Shoppers Stop,4.1,2.3,7.4,75.0,4.0,329.0
241,Synechron,3.8,2.3,24.6,198.0,66.0,283.0
242,ACC,3.9,2.3,9.5,137.0,6.0,283.0
243,Birlasoft,3.8,2.3,27.1,187.0,127.0,243.0
244,HARMAN,3.8,2.3,22.8,162.0,28.0,126.0
245,Indiabulls Home Loans,3.9,2.3,9.4,84.0,5.0,122.0
246,ArcelorMittal Nippon Steel,4.1,2.3,9.1,142.0,6.0,125.0
247,Lenskart,3.3,2.3,9.2,188.0,138.0,212.0
248,GATI-KWE,4.0,2.3,6.1,78.0,25.0,291.0
249,Reliance SMSL,4.0,2.3,5.6,128.0,1.0,284.0
250,PepsiCo,4.2,2.3,9.3,122.0,193.0,262.0
251,KPIT Technologies,3.6,2.3,20.1,165.0,25.0,308.0
252,UPL,4.2,2.3,10.1,124.0,62.0,326.0
253,S&P Global,4.2,2.3,17.4,149.0,38.0,238.0
254,Torrent Pharmaceuticals,4.0,2.3,10.1,81.0,26.0,336.0
255,Dilip Buildcon,4.0,2.2,7.9,102.0,7.0,298.0
256,RSPL Group,4.2,2.2,8.6,129.0,12.0,308.0
257,Titan Company,4.4,2.2,7.9,99.0,71.0,353.0
258,Square Yards,3.9,2.2,7.7,144.0,633.0,284.0
259,TVS Credit,4.5,2.2,5.9,65.0,33.0,208.0
260,Tech Mahindra Business Services,3.5,2.2,11.9,224.0,4.0,334.0
261,Wipro Enterprises Ltd,3.9,2.2,6.2,119.0,,445.0
262,Tata AIG,4.2,2.2,10.0,105.0,95.0,249.0
263,Bajaj Electricals,4.1,2.2,8.1,97.0,57.0,304.0
264,IDFC FIRST Bharat,4.6,2.2,3.7,85.0,5.0,77.0
265,EY Global Delivery Services ( EY GDS),3.7,2.2,12.6,333.0,,168.0
266,IGT Solutions,3.4,2.2,10.6,135.0,160.0,241.0
267,Statestreet HCL Services,3.3,2.2,17.5,168.0,,219.0
268,Alstom Transportation,3.9,2.2,11.1,167.0,115.0,190.0
269,Aditya Birla Sun Life Insurance,4.2,2.2,7.3,83.0,3.0,218.0
270,Afcons Infrastructure,4.4,2.2,7.3,160.0,9.0,317.0
271,Apollo Tyres,4.1,2.1,8.9,96.0,16.0,341.0
272,Simplex Infrastructures,3.3,2.1,7.1,50.0,13.0,291.0
273,Mankind Pharma,4.1,2.1,7.9,141.0,43.0,255.0
274,Domino's Pizza,4.0,2.1,4.5,61.0,3.0,392.0
275,Suzlon Group,4.2,2.1,7.7,85.0,12.0,362.0
276,Zensar Technologies,3.8,2.1,26.1,151.0,71.0,275.0
277,Flex,4.2,2.1,18.3,115.0,13.0,456.0
278,Capita,3.8,2.1,14.4,108.0,39.0,340.0
279,KocharTech,4.1,2.1,3.6,53.0,48.0,606.0
280,Huawei Technologies,4.0,2.1,11.6,80.0,9.0,303.0
281,Max Healthcare,4.2,2.1,8.1,85.0,135.0,253.0
282,State Street Corporation,3.8,2.1,22.1,124.0,204.0,281.0
283,McDonald's,4.2,2.1,4.7,75.0,15.0,422.0
284,Bajaj Allianz General Insurance,4.0,2.1,8.4,65.0,31.0,247.0
285,Tata Technologies,3.8,2.1,19.5,146.0,196.0,328.0
286,Taj Hotels Resorts and Palaces,4.2,2.1,5.4,81.0,69.0,179.0
287,I Process Services,3.9,2.0,5.0,61.0,15.0,131.0
288,ElasticRun,3.4,2.0,6.1,212.0,43.0,235.0
289,Croma,4.1,2.0,6.6,71.0,121.0,195.0
290,HDFC Sales,4.1,2.0,7.5,124.0,26.0,198.0
291,Landmark Group,4.1,2.0,8.7,91.0,189.0,279.0
292,Grasim Industries,4.1,2.0,8.7,131.0,9.0,264.0
293,Nestle,4.2,2.0,8.7,177.0,42.0,328.0
294,Walmart,4.0,2.0,16.3,207.0,215.0,361.0
295,Lava International,4.1,2.0,5.0,49.0,17.0,306.0
296,UNO Minda,4.1,2.0,8.5,114.0,8.0,278.0
297,AGS Health,4.0,2.0,9.7,107.0,30.0,283.0
298,Nokia,4.3,2.0,18.7,169.0,32.0,544.0
299,Patanjali Ayurved,4.1,2.0,7.3,81.0,,261.0
300,Blue Dart Express,4.1,2.0,6.1,74.0,,237.0
301,Tractors and Farm Equipment,4.1,2.0,8.4,71.0,38.0,291.0
302,Capgemini Engineering,3.6,2.0,20.9,204.0,192.0,159.0
303,G4S,4.1,2.0,4.8,66.0,33.0,239.0
304,State Street Syntel,3.7,2.0,11.8,55.0,,289.0
305,Fortis Healthcare,4.1,2.0,6.8,91.0,67.0,144.0
306,Societe Generale,3.9,2.0,19.6,152.0,97.0,308.0
307,BlackBuck,3.9,2.0,6.1,131.0,66.0,249.0
308,TVS Supply Chain Solutions,4.0,2.0,8.0,88.0,13.0,202.0
309,Britannia,4.1,1.9,7.2,114.0,28.0,259.0
310,Fiserv,3.7,1.9,18.3,100.0,39.0,332.0
311,KFintech,3.6,1.9,9.5,90.0,18.0,54.0
312,Micro Labs,3.7,1.9,8.8,78.0,8.0,217.0
313,Voltas,4.1,1.9,7.8,86.0,,258.0
314,Sterlite Technologies,3.8,1.9,10.4,124.0,69.0,222.0
315,Shree Cement,4.0,1.9,8.7,107.0,1.0,232.0
316,Exide Industries,3.6,1.9,7.0,116.0,68.0,248.0
317,Ola Cabs,3.5,1.9,11.3,108.0,479.0,243.0
318,Kyndryl,4.1,1.9,16.3,91.0,53.0,178.0
319,Yazaki,3.9,1.9,7.5,92.0,17.0,264.0
320,Himalaya Wellness,4.2,1.9,5.8,63.0,24.0,271.0
321,Radisson Hotels,4.1,1.9,5.9,45.0,4.0,315.0
322,Dalmia Bharat Cement,4.1,1.9,7.8,103.0,2.0,239.0
323,Quest Global,3.7,1.9,17.6,170.0,134.0,206.0
324,Lifestyle,4.4,1.9,6.9,51.0,18.0,291.0
325,IKS Health,3.6,1.8,8.9,141.0,51.0,240.0
326,Eureka Forbes,3.9,1.8,5.8,44.0,7.0,230.0
327,Ajanta Pharma,4.1,1.8,8.2,84.0,11.0,220.0
328,ACT Fibernet,4.1,1.8,7.0,86.0,68.0,259.0
329,Blue Star,4.1,1.8,8.5,106.0,26.0,248.0
330,Aditya Birla Group,4.1,1.8,10.4,133.0,4.0,247.0
331,Extramarks Education,3.5,1.8,9.0,144.0,105.0,151.0
332,XpressBees,3.8,1.8,6.7,114.0,179.0,183.0
333,Nokia Networks,4.4,1.8,8.0,88.0,117.0,24.0
334,DS Group,4.1,1.8,5.9,80.0,62.0,223.0
335,Mahindra Rural Housing Finance,4.1,1.8,4.8,60.0,34.0,184.0
336,Sonalika Tractors,3.8,1.8,8.0,95.0,13.0,185.0
337,Life Insurance Corporation of India,4.4,1.8,4.1,60.0,6.0,244.0
338,Cholamandalam MS General Insurance,3.9,1.8,5.6,59.0,4.0,167.0
339,Motilal Oswal Financial Services,3.8,1.8,9.3,116.0,130.0,183.0
340,Zomato,3.8,1.8,11.7,182.0,13.0,223.0
341,Future Retail,4.3,1.8,6.1,44.0,2.0,259.0
342,Delhi Public School,3.9,1.8,5.4,85.0,102.0,269.0
343,Mahindra Logistics,4.1,1.8,7.8,86.0,23.0,223.0
344,PVR Cinemas,4.1,1.8,5.7,64.0,61.0,250.0
345,JMC Projects,4.2,1.8,5.8,79.0,1.0,265.0
346,Rivigo,3.9,1.8,7.6,65.0,5.0,242.0
347,Indus Towers,4.0,1.8,6.9,114.0,30.0,210.0
348,Ninjacart,4.1,1.8,5.7,75.0,26.0,145.0
349,Myntra,4.0,1.8,8.8,119.0,60.0,316.0
350,Emcure Pharmaceuticals,3.8,1.8,8.4,83.0,59.0,247.0
351,V-Mart,4.3,1.8,3.8,95.0,81.0,218.0
352,Parle Agro,4.2,1.8,6.1,74.0,4.0,221.0
353,SRF,4.3,1.8,7.4,112.0,18.0,276.0
354,Kalpataru Power Transmission,4.2,1.7,6.4,94.0,4.0,209.0
355,Datamatics Global Services,3.6,1.7,11.1,104.0,161.0,194.0
356,Movate,3.5,1.7,12.9,176.0,36.0,19.0
357,Kansai Nerolac Paints,3.9,1.7,6.4,95.0,77.0,197.0
358,Pfizer,4.1,1.7,6.1,48.0,55.0,283.0
359,Renault-Nissan,4.1,1.7,8.2,58.0,,271.0
360,Tata Teleservices,4.1,1.7,4.8,26.0,1.0,261.0
361,Fujitsu,3.9,1.7,14.9,109.0,78.0,201.0
362,Mahindra Holidays & Resorts,3.6,1.7,5.8,71.0,60.0,205.0
363,Indian Railways,4.1,1.7,3.1,69.0,,170.0
364,VVDN Technologies,3.7,1.7,9.6,113.0,82.0,147.0
365,BHEL,4.1,1.7,5.1,79.0,,218.0
366,Raymond,4.1,1.7,7.1,68.0,28.0,242.0
367,MSN Laboratories,3.8,1.7,7.1,71.0,54.0,182.0
368,Reliance Trends,4.3,1.7,4.2,78.0,,224.0
369,KPMG Global Services,3.7,1.7,3.6,111.0,120.0,22.0
370,3i Infotech,3.6,1.7,10.6,98.0,54.0,156.0
371,ICICI Securities,3.8,1.7,8.6,102.0,15.0,188.0
372,Cybage,3.9,1.7,17.1,118.0,88.0,293.0
373,Blinkit,3.9,1.7,7.9,105.0,8.0,204.0
374,Ambuja Cements,3.9,1.7,6.0,78.0,,217.0
375,JCB,4.0,1.6,8.4,83.0,,252.0
376,Cadila Pharmaceuticals,3.5,1.6,6.9,79.0,1.0,185.0
377,Info Edge,4.1,1.6,10.2,197.0,812.0,290.0
378,Shell,4.3,1.6,12.2,126.0,14.0,270.0
379,GlaxoSmithKline Pharmaceuticals,4.1,1.6,4.8,71.0,336.0,124.0
380,suzuki motor gujarat,4.3,1.6,6.2,113.0,55.0,198.0
381,Poonawalla Fincorp,3.9,1.6,5.0,36.0,99.0,134.0
382,ZS,3.5,1.6,15.6,235.0,37.0,285.0
383,Foundever,3.8,1.6,6.0,77.0,102.0,224.0
384,Whirlpool,4.2,1.6,7.7,63.0,24.0,210.0
385,Force Motors,3.6,1.6,7.8,89.0,1.0,171.0
386,Endurance Technologies,3.8,1.6,7.1,74.0,3.0,244.0
387,Bharat Petroleum,4.2,1.6,6.3,109.0,,193.0
388,Tata Elxsi,4.0,1.6,16.0,180.0,179.0,214.0
389,NoBroker,3.3,1.6,7.5,137.0,448.0,361.0
390,Jindal Stainless,4.3,1.6,8.5,104.0,4.0,207.0
391,GVK Emergency Management and Research Institute,3.8,1.6,4.2,59.0,11.0,187.0
392,PhonePe,4.1,1.6,8.0,143.0,197.0,192.0
393,Shahi Exports,4.0,1.6,6.8,78.0,50.0,241.0
394,Syngene International,3.9,1.6,10.8,111.0,48.0,241.0
395,Fincare Small Finance Bank,4.1,1.6,6.0,75.0,17.0,151.0
396,ITC Hotels,4.1,1.6,5.4,57.0,,202.0
397,Kalyan Jewellers,4.7,1.6,1.3,37.0,14.0,59.0
398,Bharti AXA Life Insurance,3.9,1.6,5.1,93.0,12.0,175.0
399,Sobha,4.0,1.6,7.7,74.0,5.0,217.0
400,Delphi TVS,4.1,1.6,5.4,61.0,,206.0
401,HCL Infosystems,4.0,1.6,9.5,129.0,1.0,230.0
402,Dhani Loans and Services,3.9,1.6,5.3,61.0,,50.0
403,Brakes India,4.1,1.6,6.4,51.0,7.0,208.0
404,Care Health Insurance,3.7,1.6,7.2,79.0,73.0,177.0
405,Lodha group,4.1,1.6,7.6,79.0,135.0,200.0
406,Sterling & Wilson,4.1,1.6,8.1,50.0,3.0,211.0
407,Aavas Financiers,4.0,1.6,5.4,67.0,53.0,138.0
